"alt","comments","facebookUrl","images/0/thumb","isVideo","likes","link","pageId","postId","shares","text","thumb","time","timestamp","topLevelUrl","url"
,"50","https://www.facebook.com/tamkrasaee/",,"true","214",,"100064641337040","567777582053615","79","สาธุ 🙏","https://scontent-lax3-1.xx.fbcdn.net/v/t15.5256-10/331742574_1024788228926087_1236951795381922648_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=08861d&_nc_ohc=sRhgKQz77jcAX_LqXEu&_nc_ht=scontent-lax3-1.xx&oh=00_AfCr4RYyyFfZLS-5-1ddNCFUNtL75TgOElANphMZCoQNZQ&oe=63F98BFE","Monday, February 20, 2023 at 1:25 AM","1676885137000","https://www.facebook.com/100064641337040/posts/567777582053615","https://www.facebook.com/tamkrasaee/posts/pfbid0kBctht9dUtCFj5mkZA8PK9Nt67JYorEdwAhEmnNpHjTeUYFVcAB1GS7a9C3nr3Usl"
,"17","https://www.facebook.com/tamkrasaee/",,,"577","https://www.facebook.com/photo.php?fbid=567397118758328&set=a.451405387024169&type=3","100064641337040","567539575410749","200","ห้ะ อ๋อ เอ๊อะ เอ๊ะ 🤔?","https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/331913658_638831358047890_2052479680960855108_n.jpg?stp=cp1_dst-jpg_p480x480&_nc_cat=106&ccb=1-7&_nc_sid=110474&_nc_ohc=D6T4ZVMs2tEAX_qtA1Q&_nc_ht=scontent-lax3-2.xx&oh=00_AfA2HEh9Zb29fqN9r9DH1YfJdEi23YEsiuHhG_0GmowLdw&oe=63F8F3DB","Sunday, February 19, 2023 at 4:07 PM","1676851628000","https://www.facebook.com/100064641337040/posts/567539575410749","https://www.facebook.com/tamkrasaee/posts/pfbid02s8AfgvqqrnozaP6jn3zx4RQsfWgkKH3LmcpcwNZ22is4MxjhazYKh7McbxCvbwe5l"
,"45","https://www.facebook.com/tamkrasaee/",,"true","873",,"100064641337040","567209152110458","61","จะเอายังไง 🤨","https://scontent-lax3-1.xx.fbcdn.net/v/t15.5256-10/331309452_1583078848880254_5235322179463225075_n.jpg?stp=dst-jpg_p280x280&_nc_cat=108&ccb=1-7&_nc_sid=08861d&_nc_ohc=CNnss7NUX9gAX-1tL2R&_nc_ht=scontent-lax3-1.xx&oh=00_AfAZsb1Z7UHbhjpDLMA5ky6_uGKSDQ6Y8CMWyyN5NTPoTQ&oe=63F80D82","Sunday, February 19, 2023 at 5:50 AM","1676814623000","https://www.facebook.com/100064641337040/posts/567209152110458","https://www.facebook.com/tamkrasaee/posts/pfbid0ssCPz17D52K68nRz7NRs1oReQwCfDTi1kveucN9CxaEpRSCpKAGiUUBhxhqUxAv5l"
,"22","https://www.facebook.com/tamkrasaee/",,,"964","https://www.facebook.com/photo.php?fbid=567177182113655&set=a.451405387024169&type=3","100064641337040","567177215446985","264","MOOD","https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-6/331745413_1409164349851235_646369577147490211_n.jpg?stp=dst-jpg_p403x403&_nc_cat=108&ccb=1-7&_nc_sid=110474&_nc_ohc=fJsWFq3sHQUAX8qzlMn&_nc_ht=scontent-lax3-1.xx&oh=00_AfAHdPG898KtE4R2YDOXLJPJCUtb0meC4oFZsIiT8MrBYg&oe=63F83B18","Sunday, February 19, 2023 at 4:51 AM","1676811092000","https://www.facebook.com/100064641337040/posts/567177215446985","https://www.facebook.com/tamkrasaee/posts/pfbid02dUcTgktFCTXaL8N3BgFrUamedncVdENUGF6nPAmQPf5k6vpQaBBeH7nZzAtQC42zl"
,"209","https://www.facebook.com/tamkrasaee/",,,"5200","https://www.facebook.com/photo.php?fbid=566989928799047&set=a.451405387024169&type=3","100064641337040","566989942132379","2700","กลายเป็นดาราสาวท่านหนึ่ง","https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/331990657_1136798507017509_4589403595945526080_n.jpg?stp=dst-jpg_p480x480&_nc_cat=101&ccb=1-7&_nc_sid=110474&_nc_ohc=-b2YB2GHyjcAX_RWiyM&_nc_ht=scontent-lax3-2.xx&oh=00_AfAg1gHOCYju6N81JkY5PXtqeTr5W0h3jLIrESmGjA0BaA&oe=63F97BD3","Saturday, February 18, 2023 at 9:55 PM","1676786122000","https://www.facebook.com/100064641337040/posts/566989942132379","https://www.facebook.com/tamkrasaee/posts/pfbid02FcnthzAbkumPLc9YZHByaeUxCNMiywbY4woWeL8zjXvUv48aLW5XUSUo3hwxG7fFl"
,"10","https://www.facebook.com/tamkrasaee/",,"true","102",,"100064641337040","566528338845206","31","ไม่มี ไม่มีเลยเจ้าค่ะ 👁👃👁","https://scontent-dfw5-1.xx.fbcdn.net/v/t15.5256-10/331455270_3508145926084746_3080306945173399149_n.jpg?stp=dst-jpg_p403x403&_nc_cat=101&ccb=1-7&_nc_sid=08861d&_nc_ohc=UGSjSMZ9OjwAX_BDQoG&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDms0mL_HYdRVPJ9fYIdmIQsS6ZfZ332w91nwaLq7PY2Q&oe=63F7B023","Saturday, February 18, 2023 at 5:50 AM","1676728230000","https://www.facebook.com/100064641337040/posts/566528338845206","https://www.facebook.com/tamkrasaee/posts/pfbid0Z36WW67qY2DTfqV7w4Xfrn9m3bAD4woz3Sidw8uu1sHiBj2BzJQWFnuT1if1QDh7l"
,"149","https://www.facebook.com/tamkrasaee/",,,"2500","https://www.facebook.com/photo.php?fbid=566455248852515&set=a.451405387024169&type=3","100064641337040","566455272185846","1200","ประหยัดแบบ ตัวแม่ ตัวมัม ตัวมารดา ตัวบรรพบุรุษ 😮‍💨😤🤤","https://scontent-dfw5-2.xx.fbcdn.net/v/t39.30808-6/332187838_896916364689766_9047722416956303973_n.jpg?stp=dst-jpg_p417x417&_nc_cat=107&ccb=1-7&_nc_sid=110474&_nc_ohc=eVJO-HrvpFsAX-M1Vl-&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCIRYPQe90_EB3UgQDhkpcWkyxPlfckAzy6t8kH85H5dQ&oe=63F8B240","Saturday, February 18, 2023 at 3:40 AM","1676720445000","https://www.facebook.com/100064641337040/posts/566455272185846","https://www.facebook.com/tamkrasaee/posts/pfbid021ZDBvToghAv7rKWE2exSZu357D33uUqq5vjguMm8f6Be31N8HLRR6hfXM7x8J2ERl"
,"17","https://www.facebook.com/tamkrasaee/",,"true","295",,"100064641337040","566278628870177","84","บีมหยุด 🤣","https://scontent-dfw5-2.xx.fbcdn.net/v/t15.5256-10/331049835_1332635037580487_9163495077169321493_n.jpg?stp=dst-jpg_p480x480&_nc_cat=104&ccb=1-7&_nc_sid=08861d&_nc_ohc=Z2fjGUwtjiYAX8ZI_sZ&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCel9SpvpY3zjJS_yIH6Zwzd4RByjZbaM2Yq8DQYLPSww&oe=63F86BE7","Friday, February 17, 2023 at 9:10 PM","1676697030000","https://www.facebook.com/100064641337040/posts/566278628870177","https://www.facebook.com/tamkrasaee/posts/pfbid02Jq73CyPDPiiNRzxNFKr3NBP9LADrSoYoATP3h3JpnzmivkFT2JMs5xBWX6XWPpiSl"
,"18","https://www.facebook.com/tamkrasaee/",,,"334","https://www.facebook.com/photo.php?fbid=565713418926698&set=a.451405387024169&type=3","100064641337040","565713455593361","105","MOOD","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-6/331916310_6146674758710846_8079950345287902212_n.jpg?stp=dst-jpg_p403x403&_nc_cat=109&ccb=1-7&_nc_sid=110474&_nc_ohc=tbTBGx96YCYAX9qh4nA&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDL1yN6o1SdLf5cT4-MUa39LJcSBh1N2eBwPO5JZeWYew&oe=63F89AC1","Friday, February 17, 2023 at 2:37 AM","1676630248000","https://www.facebook.com/100064641337040/posts/565713455593361","https://www.facebook.com/tamkrasaee/posts/pfbid0Dne86DTpp9wMRDjah2Ln5KgzLV8JTHbdnTPddweWQNQkZ7dX95pqVAYot9gxCcSql"
,"182","https://www.facebook.com/tamkrasaee/",,,"2800","https://www.facebook.com/photo.php?fbid=565624972268876&set=a.451405387024169&type=3","100064641337040","565625888935451","973","นังทัวดีย์ 😍","https://scontent-dfw5-2.xx.fbcdn.net/v/t39.30808-6/329425675_592329552750481_920160628641317441_n.jpg?stp=dst-jpg_p403x403&_nc_cat=100&ccb=1-7&_nc_sid=110474&_nc_ohc=FuKcA6MtD7gAX_xLcab&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAYDeGr5LO8d5t1tUEWgXCvBGyH2wqwyqluvKvsvSXC0Q&oe=63F8AA0C","Thursday, February 16, 2023 at 11:26 PM","1676618778000","https://www.facebook.com/100064641337040/posts/565625888935451","https://www.facebook.com/tamkrasaee/posts/pfbid03TjUE28sUK5JRmaicMpBLnxbkJPoTMCR8QzTt9kUZuZGb9GagR9hTkwXn8ud6kD9l"
